id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Like
0eac7pxelDpTeY71oJCdRz,Barriga pelo Amigo,B Fachada,0.557,0.202,8,-19.106,1,0.984,0.91,0.112,0.27,111.113,363333,3,1
5lf2CVRjVDsSdF3iZ5t0VW,Não Pratico Habilidades,B Fachada,0.7,0.124,9,-17.904,0,0.917,0.188,0.0953,0.0624,107.939,259333,4,1
3Nalvb5q9qlytNFO2DEfkj,Os 2 No Polibã,B Fachada,0.333,0.191,7,-15.993,0,0.914,0.589,0.141,0.0962,112.136,244427,4,1
5rukCrVfbHZrQBh9E6qmmt,Mané-Mané,B Fachada,0.466,0.0528,0,-12.281,1,0.186,0.168,0.16,0.729,140.765,407440,4,1
6QodzBQyTsVX0WkeeABRzR,Dia de Natal,B Fachada,0.815,0.879,3,-6.981,1,0.194,0.00754,0.107,0.848,137.954,181773,4,1
57Xf2dO5J42F5K4Mnr58lf,Questões de moral,B Fachada,0.834,0.455,11,-9.273,0,0.882,0.000137,0.133,0.514,114.869,189093,4,1
46CLiO72QTcysFzRI1FH62,Conselhos de Avô,B Fachada,0.656,0.786,6,-6.338,1,0.499,0.00253,0.124,0.845,160.024,170853,4,1
39Cn61nbDlm57j2cmUYP7p,Primeiro Dia (Com Francisca Cortesāo),B Fachada,0.842,0.445,0,-8.354,1,0.709,1.05e-06,0.118,0.885,100.047,177613,4,1
2ODLvT7JcIRulMk7OaDWOS,A Casa Do Manel,B Fachada,0.525,0.362,6,-11.11,1,0.627,1.03e-06,0.107,0.243,149.799,234707,4,1
60L4iESVZr0TC23G80W8Zg,Mochila do Carteiro,B Fachada,0.752,0.291,2,-11.967,1,0.793,0.000183,0.109,0.662,130.031,251960,3,1
7cuZWZ7kMLg3qYGHWgCaAf,Agosto,B Fachada,0.464,0.158,8,-14.057,1,0.905,4.28e-05,0.1,0.275,87.969,247840,3,1
0f8GvBm9ktqoJmtXH25Zzu,Barrigāo (Com Lula Pena),B Fachada,0.505,0.342,0,-12.319,1,0.858,0.00272,0.079,0.275,145.257,226773,5,1
4dcR2EfnHHjxTK6dH5Vn1m,O Futuro,B Fachada,0.67,0.225,6,-12.5,1,0.336,1.64e-05,0.113,0.168,99.95,222213,4,1
0lQfRCpRUBcRauZ76hy7ae,Responso Para Maridos Transviados,B Fachada,0.167,0.151,7,-13.427,1,0.93,0.000873,0.124,0.14,71.349,177800,4,1
1p6UaBDaGPbhyBtQ1Qzqi8,Cantiga de Amigo,B Fachada,0.492,0.346,8,-14.27,1,0.904,0.0631,0.103,0.399,79.114,173547,4,1
0TyqAF4LnaTwn9Z6GbZbmm,O Desamor,B Fachada,0.663,0.211,4,-15.637,1,0.849,0.00402,0.106,0.206,106.508,236067,5,1
6DWKIpXO46knzMJV8Jw5ZE,A Velha Europa,B Fachada,0.525,0.564,5,-12.073,1,0.813,0.948,0.093,0.815,91.028,149853,3,1
1L0mf9NDoWLR207WSrQlXd,Estar à Espera ou Procurar,B Fachada,0.577,0.68,10,-11.655,1,0.391,0.00032,0.127,0.852,92.478,156507,4,1
5CPdWKS0ZISetuwGi2O52e,Setembro,B Fachada,0.504,0.383,7,-12.752,1,0.707,0.000595,0.0971,0.741,174.566,154787,3,1
6Ja15GPs2LZxzsg583LjqS,O Teu Azar,B Fachada,0.619,0.169,9,-17.743,1,0.928,0.000431,0.0858,0.221,85.813,139320,4,1
01gNPsM8DAo4dAbeklUEug,A Bela Helena,B Fachada,0.797,0.255,4,-13.95,1,0.674,6.71e-05,0.101,0.543,89.995,251293,4,1
3Fu3cANl1EZZf8htnS0ndG,Kit de Prestidigitação,B Fachada,0.605,0.611,4,-10.518,1,0.234,0.000374,0.258,0.922,67.545,199587,4,1
51rXHuKN8Loc4sUlKPODgH,"King's Dead (with Kendrick Lamar, Future & James Blake)",James Blake,0.645,0.705,1,-5.008,1,0.000813,0.0,0.128,0.376,137.133,229670,4,1
4bzd4evyqXabRtesx4emPn,Grieving (feat. James Blake),James Blake,0.687,0.527,1,-4.344,1,0.373,1.07e-06,0.216,0.651,126.087,230573,4,1
4KXwFI9pgJLpUIAc9oSL8j,Bloody Waters (with Anderson .Paak & James Blake),James Blake,0.507,0.606,8,-8.758,1,0.185,0.0,0.174,0.202,180.607,272307,4,1
33BnSMHgX0AsbKSIbkuMwh,Limit To Your Love,James Blake,0.775,0.281,10,-10.216,0,0.549,0.242,0.0941,0.0398,139.949,276720,4,1
2zUYg51Df8nLuymwI67mzk,Assume Form,James Blake,0.413,0.349,4,-10.361,0,0.886,0.000195,0.091,0.148,139.274,289600,4,1
6gWo0JYLA6Dnw40WIx1MTl,Mile High (feat. Travis Scott & Metro Boomin),Metro Boomin,0.754,0.37,6,-9.854,0,0.403,6.22e-05,0.107,0.228,114.941,193600,4,1
6b1eq00KotcEnBTn51ELAz,Tell Them (feat. Moses Sumney & Metro Boomin),Metro Boomin,0.58,0.469,8,-8.655,0,0.778,6.79e-05,0.099,0.289,176.019,208400,4,1
5T4l3jMleCgNMmeYRPYvnS,Into The Red,James Blake,0.508,0.47,1,-9.011,1,0.586,0.0556,0.134,0.151,173.838,257200,4,1
3rDIv69iKUGLFAScfHwCYd,Barefoot In The Park (feat. ROSALÍA),ROSALÍA,0.558,0.632,9,-8.339,0,0.832,0.105,0.198,0.519,161.764,211200,4,1
03NtFY8KBtBsLQg2E9rVDI,Can't Believe The Way We Flow,James Blake,0.259,0.536,8,-10.309,1,0.705,0.000501,0.432,0.29,143.948,267200,4,1
48TwC1IPK9g9r6xYMseKZ0,Are You In Love?,James Blake,0.557,0.278,8,-12.353,1,0.723,2.24e-05,0.0755,0.335,147.681,197600,4,1
3zuPiPjLdL9aDnyUZcgONy,Where's The Catch? (feat. André 3000),André 3000,0.746,0.56,5,-9.02,0,0.649,0.000577,0.107,0.172,91.988,276000,4,1
0ZMBqlhWnSlR4KCiUfLL8i,I'll Come Too,James Blake,0.661,0.472,7,-7.889,1,0.757,0.00275,0.192,0.206,73.986,222400,4,1
2qNUaGPyb4HhCutBS0Z0hF,Power On,James Blake,0.649,0.468,2,-10.951,1,0.849,0.00706,0.106,0.618,92.489,246400,4,1
5VYCCPct242jtbidE13EKK,Don't Miss It,James Blake,0.52,0.341,9,-12.66,1,0.842,0.0193,0.0971,0.052,140.914,299200,4,1
1HH74T0lQrV21hkc5KmPZ5,Mulholland,James Blake,0.46,0.512,1,-12.602,1,0.556,0.472,0.148,0.266,110.688,190541,4,1
2ChIDG3Ae88OSrocGzjZzT,Lullaby For My Insomniac,James Blake,0.318,0.0297,10,-16.581,1,0.957,0.00117,0.0969,0.0624,129.706,223800,5,1
0ZPPbwJD2WVU8HdMsVtChk,Radio Silence,James Blake,0.532,0.412,2,-9.641,1,0.773,0.0234,0.106,0.417,120.086,240537,4,1
6dSCIGteGmVCCH39hxuddz,Points,James Blake,0.263,0.223,11,-17.334,0,0.926,0.266,0.154,0.11,76.078,211407,4,1
1C0WuqxJFwspf1lc0v4qhZ,Love Me In Whatever Way,James Blake,0.318,0.482,8,-11.677,0,0.861,0.00452,0.185,0.236,123.489,303463,4,1
49jxn2Mdde8QZUx0AlbD0l,Timeless,James Blake,0.682,0.324,11,-10.653,0,0.0594,0.184,0.121,0.493,139.976,262000,4,1
73Uc6U9BTEFoGP5ywB6MLr,f.o.r.e.v.e.r.,James Blake,0.42,0.0375,10,-17.351,0,0.972,5.68e-05,0.0975,0.159,128.997,160512,3,1
1qBk8jyJmxeXAbbrZ1thxL,Put That Away And Talk To Me,James Blake,0.746,0.265,6,-12.179,0,0.478,4.5e-06,0.237,0.237,116.948,237627,4,1
2B7snFRWcKkZsH7AR4cuRR,I Hope My Life - 1-800 Mix,James Blake,0.641,0.343,11,-13.6,0,0.349,1.43e-05,0.143,0.232,125.012,340392,4,1
6CaixeaNllgzmFcfMhAeD8,Waves Know Shores,James Blake,0.222,0.138,10,-17.477,1,0.909,0.222,0.126,0.0677,78.473,175558,1,1
6JHqijXeoR9S3DzvDm4VO5,My Willing Heart,James Blake,0.5,0.177,10,-13.374,0,0.756,0.00578,0.0764,0.31,109.981,242651,4,1
2N8uCUNl2R6q6sXfG42Vur,Choose Me,James Blake,0.414,0.56,10,-9.859,0,0.532,0.747,0.168,0.202,74.179,338432,4,1
3mUGTZQ7SctWdmDMukT6tJ,Noise Above Our Heads,James Blake,0.748,0.3,11,-12.16,0,0.825,0.302,0.106,0.399,124.032,303543,4,1
2YItmEbRbOhAHevysQ1QLr,The Colour In Anything,James Blake,0.393,0.0791,5,-13.342,1,0.979,0.0325,0.0967,0.12,135.491,213621,4,1
7qbuX4vj6cGIs96gIMh6b7,Two Men Down,James Blake,0.588,0.52,0,-12.839,0,0.0657,0.00343,0.145,0.419,100.019,361983,4,1
0ADFdBeamLf1sUlXnd91SE,Modern Soul,James Blake,0.287,0.415,1,-11.311,0,0.276,0.000811,0.105,0.174,70.418,332788,4,1
6vcqur8XelCD3GJLVQB87I,Always,James Blake,0.291,0.237,1,-13.185,1,0.501,2.57e-05,0.148,0.129,103.206,304556,4,1
769vrJXv69vVKlZjX9XJ4W,Meet You In The Maze,James Blake,0.325,0.00722,10,-26.397,1,0.966,1.03e-05,0.11,0.065,107.448,295274,4,1
7rHIRFNCDu6o9LWtGMevK1,Overgrown,James Blake,0.345,0.429,9,-10.421,0,0.726,0.0274,0.106,0.129,137.097,300507,4,1
7n3xrEVdLqpzcGvbGmGejF,I Am Sold,James Blake,0.538,0.393,11,-9.59,0,0.753,0.00518,0.103,0.264,140.093,244480,4,1
2746pcTPaE9FBHkvUivCsg,Life Round Here,James Blake,0.605,0.661,10,-9.476,0,0.455,0.326,0.109,0.259,144.968,217120,4,1
6vVPCNcE9bEhhGAV2NMxov,Take A Fall For Me,RZA,0.442,0.609,11,-9.016,1,0.886,0.0,0.131,0.16,80.558,213947,4,1
0bER7hZcp3jwwJmaGAvksS,DLM,James Blake,0.401,0.17,2,-15.077,1,0.969,0.00711,0.0992,0.082,132.923,145920,3,1
0BQV07dSwLltMlLDo47ckp,Digital Lion,James Blake,0.498,0.654,11,-9.859,0,0.182,0.696,0.117,0.254,134.94,287013,4,1
0Zaq26GPf2emAuRPsMXKGC,Voyeur,James Blake,0.519,0.702,7,-6.761,0,0.0481,0.312,0.0855,0.317,124.931,257747,4,1
4UZeOqDHc9KluSril899KL,To The Last,James Blake,0.536,0.599,11,-11.785,0,0.716,0.00903,0.14,0.116,140.048,259693,4,1
0BCAtiPr3fBKqfEWaUmCUh,Our Love Comes Back,James Blake,0.328,0.193,9,-18.655,0,0.971,0.441,0.141,0.126,137.493,219027,4,1
2uhEKg8kIzpdvz4gyy6x8W,Only Love,Ben Howard,0.545,0.485,8,-9.941,1,0.3,0.00137,0.119,0.341,80.401,249173,4,1
7gYwIAHB6VxzLJFSZMMv8i,I Forget Where We Were,Ben Howard,0.305,0.462,0,-9.57,1,0.475,0.122,0.0916,0.181,113.468,281213,4,1
2Yu0AtCUsskiFKqtLCm0zc,Hot Heavy Summer,Sylvan Esso,0.617,0.248,11,-14.998,1,0.761,0.599,0.114,0.619,161.903,229292,4,1
5eSH7Aubn6Ol80ynF4MV2L,Nica Libres At Dusk,Ben Howard,0.453,0.426,9,-12.793,1,0.76,0.392,0.0976,0.356,148.063,394320,4,1
2Viw81MZJPsOjODAz4A5nW,She Treats Me Well,Ben Howard,0.625,0.494,0,-12.597,0,0.374,0.308,0.0713,0.596,79.589,317933,4,1
4dr5sJ1p6mdNpK3fIUz8vR,Oats In The Water,Ben Howard,0.356,0.474,2,-9.41,0,0.273,0.304,0.184,0.094,130.193,299382,4,1
65hUTiykNAiAvmGYXazhFJ,Depth Over Distance,Ben Howard,0.26,0.279,2,-11.095,0,0.845,3.94e-05,0.105,0.0526,74.86,288436,3,1
5fpEDGQX0Ah3utGnFYulQZ,Keep Your Head Up,Ben Howard,0.508,0.596,4,-9.034,0,0.439,9.84e-06,0.111,0.4,79.359,264547,4,1
5RySo0AAUR0reTHSCvb6HC,Small Things,Ben Howard,0.393,0.595,7,-9.825,0,0.79,0.297,0.115,0.165,135.797,343787,4,1
5ZYjTwonyl7sZbsgfxTgSL,Under The Same Sun,Ben Howard,0.526,0.567,9,-12.174,0,0.171,0.302,0.0874,0.183,148.465,286280,4,1
2sSdtJhzBYI7dcKICUBHC4,A Boat To An Island On The Wall,Ben Howard,0.486,0.495,5,-9.056,1,0.466,0.821,0.106,0.326,146.311,430307,4,1
63QsFC6m0CaTw2gU0iZa7N,Conrad,Ben Howard,0.574,0.322,9,-12.41,1,0.91,0.519,0.0836,0.178,81.603,368120,4,1
0Em2XljAKp5THmpNvS83cp,Bones,Ben Howard,0.364,0.207,0,-12.905,1,0.684,0.0,0.315,0.138,65.907,345747,3,1
